Date,Open,High,Low,Close,Adj Close,Volume
2007-09-17,4518.450195,4855.700195,4481.549805,4837.549805,4837.549805,0
2007-09-24,4837.149902,5055.799805,4837.149902,5021.350098,5021.350098,0
2007-10-01,5021.500000,5261.350098,5001.350098,5185.850098,5185.850098,0
2007-10-08,5186.250000,5549.299805,5000.950195,5428.250000,5428.250000,0
2007-10-15,5428.350098,5736.799805,5101.750000,5215.299805,5215.299805,0
2007-10-22,5202.750000,5716.899902,5070.899902,5702.299805,5702.299805,0
2007-10-29,5708.899902,6011.950195,5708.899902,5932.399902,5932.399902,0
2007-11-05,5931.899902,5957.200195,5614.899902,5663.250000,5663.250000,0
2007-11-12,5660.600098,5966.950195,5477.500000,5906.850098,5906.850098,0
2007-11-19,5908.049805,5981.799805,5394.350098,5608.600098,5608.600098,0
2007-11-26,5611.299805,5782.549805,5595.500000,5762.750000,5762.750000,0
2007-12-03,5765.450195,6042.100098,5754.600098,5974.299805,5974.299805,0
2007-12-10,5974.000000,6185.399902,5923.350098,6047.700195,6047.700195,0
2007-12-17,6037.950195,6039.950195,5676.700195,5766.500000,5766.500000,0
2007-12-24,5771.299805,6110.850098,5771.299805,6079.700195,6079.700195,0
2007-12-31,6095.000000,6300.049805,6060.850098,6274.299805,6274.299805,0
2008-01-07,6271.000000,6357.100098,6112.549805,6200.100098,6200.100098,0
2008-01-14,6208.799805,6260.450195,5677.000000,5705.299805,5705.299805,0
2008-01-21,5705.000000,5705.000000,4448.500000,5383.350098,5383.350098,0
2008-01-28,5380.950195,5391.600098,5071.000000,5317.250000,5317.250000,0
2008-02-04,5315.549805,5545.200195,5034.250000,5120.350098,5120.350098,0
2008-02-11,5120.549805,5315.399902,4803.600098,5302.899902,5302.899902,0
2008-02-18,5304.450195,5368.450195,5092.799805,5110.750000,5110.750000,0
2008-02-25,5112.250000,5368.149902,5055.149902,5223.500000,5223.500000,0
2008-03-03,5222.799805,5222.799805,4672.250000,4771.600098,4771.600098,0
2008-03-10,4767.799805,5019.200195,4580.149902,4745.799805,4745.799805,0
2008-03-17,4745.450195,4745.450195,4468.549805,4573.950195,4573.950195,0
2008-03-24,4576.799805,4970.799805,4539.799805,4942.000000,4942.000000,0
2008-03-31,4942.149902,4947.000000,4628.750000,4647.000000,4647.000000,0
2008-04-07,4631.350098,4817.399902,4628.799805,4777.799805,4777.799805,0
2008-04-14,4779.950195,4984.950195,4708.299805,4958.399902,4958.399902,0
2008-04-21,4955.899902,5117.700195,4955.899902,5111.700195,5111.700195,0
2008-04-28,5112.500000,5298.850098,5079.149902,5228.200195,5228.200195,0
2008-05-05,5227.250000,5254.500000,4969.399902,4982.600098,4982.600098,0
2008-05-12,4981.000000,5167.399902,4913.799805,5157.700195,5157.700195,0
2008-05-19,5157.000000,5160.049805,4940.700195,4946.549805,4946.549805,0
2008-05-26,4953.600098,4957.399902,4801.899902,4870.100098,4870.100098,0
2008-06-02,4869.250000,4908.799805,4536.250000,4627.799805,4627.799805,0
2008-06-09,4626.450195,4626.450195,4369.799805,4517.100098,4517.100098,0
2008-06-16,4536.299805,4679.750000,4333.600098,4347.549805,4347.549805,0
2008-06-23,4351.149902,4351.149902,4093.199951,4136.649902,4136.649902,0
2008-06-30,4136.250000,4163.000000,3848.250000,4016.000000,4016.000000,0
2008-07-07,4002.000000,4215.500000,3896.050049,4049.000000,4049.000000,0
2008-07-14,4047.449951,4118.100098,3790.199951,4092.250000,4092.250000,0
2008-07-21,4092.199951,4539.450195,4072.750000,4311.850098,4311.850098,0
2008-07-28,4282.250000,4422.950195,4159.149902,4413.549805,4413.549805,0
2008-08-04,4426.100098,4615.899902,4362.899902,4529.500000,4529.500000,0
2008-08-11,4529.350098,4649.850098,4421.250000,4430.700195,4430.700195,0
2008-08-18,4430.700195,4447.399902,4248.000000,4327.450195,4327.450195,0
2008-08-25,4317.950195,4398.799805,4201.850098,4360.000000,4360.000000,0
2008-09-01,4356.100098,4522.399902,4281.350098,4352.299805,4352.299805,0
2008-09-08,4358.299805,4558.000000,4200.149902,4228.450195,4228.450195,0
2008-09-15,4231.950195,4262.649902,3799.550049,4245.250000,4245.250000,0
2008-09-22,4248.950195,4303.250000,3970.350098,3985.250000,3985.250000,0
2008-09-29,3990.199951,4000.500000,3715.050049,3818.300049,3818.300049,0
2008-10-06,3817.300049,3820.850098,3198.949951,3279.949951,3279.949951,0
2008-10-13,3272.899902,3648.250000,3046.600098,3074.350098,3074.350098,0
2008-10-20,3108.199951,3254.850098,2525.050049,2584.000000,2584.000000,0
2008-10-27,2583.750000,2921.350098,2252.750000,2885.600098,2885.600098,0
2008-11-03,2885.399902,3240.550049,2860.100098,2973.000000,2973.000000,0
2008-11-10,2973.300049,3161.250000,2778.800049,2810.350098,2810.350098,0
2008-11-17,2813.399902,2835.699951,2502.899902,2693.449951,2693.449951,0
2008-11-24,2690.850098,2790.699951,2633.800049,2755.100098,2755.100098,0
2008-12-01,2755.149902,2832.850098,2570.699951,2714.399902,2714.399902,0
2008-12-08,2714.699951,2945.300049,2714.699951,2921.350098,2921.350098,0
2008-12-15,2917.899902,3106.800049,2917.899902,3077.500000,3077.500000,0
2008-12-22,3077.250000,3110.449951,2844.800049,2857.250000,2857.250000,0
